"","eventID","eventType","game","gameName_short","V5","venueID","lowest_price","highest_price","average_price","listing_count","lowest_price_good_deals","announce_date","created_at","visible_until_utc","status","url"
"64","4347154","nfl","Cleveland Browns at Oakland Raiders","Browns at Raiders","Oakland-Alameda County Coliseum","14","90","1867","211.19","1124","90","2018-04-20T00:00:00","2018-04-20T01:04:25","2018-10-01T00:05:00","normal","https://seatgeek.com/browns-at-raiders-tickets/9-30-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347154"
"65","4347112","nfl","San Francisco 49ers at Los Angeles Chargers","49ers at Chargers","StubHub Center","52","211","1202","344.55","502","211","2018-04-20T00:00:00","2018-04-20T00:47:52","2018-10-01T00:25:00","normal","https://seatgeek.com/49ers-at-chargers-tickets/9-30-2018-carson-california-stubhub-center/nfl/4347112"
"66","4346972","nfl","New Orleans Saints at New York Giants","Saints at Giants","MetLife Stadium","1587","134","2946","353.34","1318","134","2018-04-20T00:00:00","2018-04-20T00:47:25","2018-10-01T00:25:00","normal","https://seatgeek.com/saints-at-giants-tickets/9-30-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346972"
"67","4347080","nfl","Baltimore Ravens at Pittsburgh Steelers","Ravens at Steelers","Heinz Field","1119","102","6452","366.09","1114","102","2018-04-20T00:00:00","2018-04-20T00:47:47","2018-10-01T04:20:00","normal","https://seatgeek.com/ravens-at-steelers-tickets/9-30-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347080"
"68","4347139","nfl","Kansas City Chiefs at Denver Broncos","Chiefs at Broncos","Sports Authority Field at Mile High","1131","138","2273","400.57","999","138","2018-04-20T00:00:00","2018-04-20T01:04:05","2018-10-02T04:15:00","normal","https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139"
"69","4347096","nfl","Indianapolis Colts at New England Patriots","Colts at Patriots","Gillette Stadium","33","176","3333","562.38","1546","184","2018-04-20T00:00:00","2018-04-20T00:47:50","2018-10-05T04:20:00","normal","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096"
"70","4281989","ncaa_football","South Alabama Jaguars at Georgia Southern Eagles Football","South Alabama at Georgia Southern","Allen E. Paulson Stadium","2352","28","96","46.5","20",NA,"2018-02-28T00:00:00","2018-02-28T15:00:17","2018-10-06T20:00:00","normal","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-12-pm/4281989"
"71","4347079","nfl","Atlanta Falcons at Pittsburgh Steelers","Falcons at Steelers","Heinz Field","1119","153","6736","435.65","941","153","2018-04-20T00:00:00","2018-04-20T00:47:47","2018-10-07T21:00:00","normal","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079"
"72","4347027","nfl","Green Bay Packers at Detroit Lions","Packers at Lions","Ford Field","346","86","13379","335.56","998","86","2018-04-20T00:00:00","2018-04-20T00:47:37","2018-10-07T21:00:00","normal","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027"
"73","4347032","nfl","New York Giants at Carolina Panthers","Giants at Panthers","Bank of America Stadium","1122","157","1696","425.79","913","157","2018-04-20T00:00:00","2018-04-20T00:47:38","2018-10-07T21:00:00","normal","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032"
"74","4347011","sports","Denver Broncos at New York Jets","Broncos at Jets","MetLife Stadium","1587","56","1864","189.21","2437","56","2018-04-20T00:00:00","2018-04-20T00:47:34","2018-10-07T21:00:00","normal","https://seatgeek.com/denver-broncos-at-new-york-jets-tickets/sport/2018-10-07-1-pm/4347011"
"75","4347043","nfl","Miami Dolphins at Cincinnati Bengals","Dolphins at Bengals","Paul Brown Stadium","1124","41","1109","137.5","1434","41","2018-04-20T00:00:00","2018-04-20T00:47:40","2018-10-07T21:00:00","normal","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043"
"76","4346999","nfl","Baltimore Ravens at Cleveland Browns","Ravens at Browns","FirstEnergy Stadium","1123","36","1178","153.36","1920","36","2018-04-20T00:00:00","2018-04-20T00:47:31","2018-10-07T21:00:00","normal","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999"
"77","4347063","nfl","Tennessee Titans at Buffalo Bills","Titans at Bills","New Era Field","1135","67","6308","173.53","1967","67","2018-04-20T00:00:00","2018-04-20T00:47:44","2018-10-07T21:00:00","normal","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063"
"78","4346983","nfl","Jacksonville Jaguars at Kansas City Chiefs","Jaguars at Chiefs","Arrowhead Stadium","1128","43","758","149.92","1907","43","2018-04-20T00:00:00","2018-04-20T00:47:28","2018-10-07T21:00:00","normal","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983"
"79","4347111","nfl","Oakland Raiders at Los Angeles Chargers","Raiders at Chargers","StubHub Center","52","263","6245","410.07","595","263","2018-04-20T00:00:00","2018-04-20T00:47:52","2018-10-08T00:05:00","normal","https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111"
"80","4347115","nfl","Arizona Cardinals at San Francisco 49ers","Cardinals at 49ers","Levi's Stadium","58670","65","3694","235.35","1887","65","2018-04-20T00:00:00","2018-04-20T00:47:53","2018-10-08T00:25:00","normal","https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115"
